Station,Year,DOY,Solar_Radiation,Hour,Min_Temp,Max_Temp,VPD,Wind_Speed,Rain
Maricopa,2023,91,0,0,18.82240876,18.82240876,1.007262774,2.07725649,0
Maricopa,2023,91,0,1,18.82240876,18.82240876,1.007262774,2.07725649,0
Maricopa,2023,91,0,2,18.82240876,18.82240876,1.007262774,2.07725649,0
Maricopa,2023,91,0,3,18.82240876,18.82240876,1.007262774,2.07725649,0
Maricopa,2023,91,0,4,18.82240876,18.82240876,1.007262774,2.07725649,0
Maricopa,2023,91,0,5,18.82240876,18.82240876,1.007262774,2.07725649,0
Maricopa,2023,91,0,6,19.53037741,19.53037741,1.007262774,2.07725649,0
Maricopa,2023,91,0,7,23.51531214,23.51531214,1.007262774,2.07725649,0
Maricopa,2023,91,400,8,27.19817168,27.19817168,1.007262774,2.07725649,0
Maricopa,2023,91,400,9,30.34189584,30.34189584,1.007262774,2.07725649,0
Maricopa,2023,91,400,10,32.7441278,32.7441278,1.007262774,2.07725649,0
Maricopa,2023,91,400,11,34.25023946,34.25023946,1.007262774,2.07725649,0
Maricopa,2023,91,400,12,34.76328467,34.76328467,1.007262774,2.07725649,0
Maricopa,2023,91,400,13,34.25023946,34.25023946,1.007262774,2.07725649,0
Maricopa,2023,91,400,14,32.7441278,32.7441278,1.007262774,2.07725649,0
Maricopa,2023,91,400,15,30.34189584,30.34189584,1.007262774,2.07725649,0
Maricopa,2023,91,400,16,27.19817168,27.19817168,1.007262774,2.07725649,0
Maricopa,2023,91,400,17,23.51531214,23.51531214,1.007262774,2.07725649,0
Maricopa,2023,91,400,18,19.53037741,19.53037741,1.007262774,2.07725649,0
Maricopa,2023,91,0,19,18.82240876,18.82240876,1.007262774,2.07725649,0
Maricopa,2023,91,0,20,18.82240876,18.82240876,1.007262774,2.07725649,0
Maricopa,2023,91,0,21,18.82240876,18.82240876,1.007262774,2.07725649,0
Maricopa,2023,91,0,22,18.82240876,18.82240876,1.007262774,2.07725649,0
Maricopa,2023,91,0,23,18.82240876,18.82240876,1.007262774,2.07725649,0
Maricopa,2023,92,0,0,18.82240876,18.82240876,1.007262774,2.07725649,0
Maricopa,2023,92,0,1,18.82240876,18.82240876,1.007262774,2.07725649,0
Maricopa,2023,92,0,2,18.82240876,18.82240876,1.007262774,2.07725649,0
Maricopa,2023,92,0,3,18.82240876,18.82240876,1.007262774,2.07725649,0
Maricopa,2023,92,0,4,18.82240876,18.82240876,1.007262774,2.07725649,0
Maricopa,2023,92,0,5,18.82240876,18.82240876,1.007262774,2.07725649,0
Maricopa,2023,92,0,6,19.66600418,19.66600418,1.007262774,2.07725649,0
Maricopa,2023,92,0,7,23.62333508,23.62333508,1.007262774,2.07725649,0
Maricopa,2023,92,400,8,27.27505872,27.27505872,1.007262774,2.07725649,0
Maricopa,2023,92,400,9,30.38872137,30.38872137,1.007262774,2.07725649,0
Maricopa,2023,92,400,10,32.76612005,32.76612005,1.007262774,2.07725649,0
Maricopa,2023,92,400,11,34.25591932,34.25591932,1.007262774,2.07725649,0
Maricopa,2023,92,400,12,34.76328467,34.76328467,1.007262774,2.07725649,0
Maricopa,2023,92,400,13,34.25591932,34.25591932,1.007262774,2.07725649,0
Maricopa,2023,92,400,14,32.76612005,32.76612005,1.007262774,2.07725649,0
Maricopa,2023,92,400,15,30.38872137,30.38872137,1.007262774,2.07725649,0
Maricopa,2023,92,400,16,27.27505872,27.27505872,1.007262774,2.07725649,0
Maricopa,2023,92,400,17,23.62333508,23.62333508,1.007262774,2.07725649,0
Maricopa,2023,92,400,18,19.66600418,19.66600418,1.007262774,2.07725649,0
Maricopa,2023,92,0,19,18.82240876,18.82240876,1.007262774,2.07725649,0
Maricopa,2023,92,0,20,18.82240876,18.82240876,1.007262774,2.07725649,0
Maricopa,2023,92,0,21,18.82240876,18.82240876,1.007262774,2.07725649,0
Maricopa,2023,92,0,22,18.82240876,18.82240876,1.007262774,2.07725649,0
